?"sku",fnsku,asin,amazon-store,sales-price,longest-side,median-side,shortest-side,length-and-girth,unit-of-dimension,item-package-weight,unit-of-weight
332561J,X0041N4LPN,B0CNPPL1HG,US,79.99,12.76,7.4,6.65,40.86,inches,7.69,pounds
WP-0006,X0041MMKYN,B0CNPQNFPG,US,129.99,16,10,8.5,53,inches,20.6,pounds
VSF-AWD4Wx2,X0041AA4BL,B0CN32T8J9,US,29.99,6.3,5.59,5.08,27.64,inches,1.26,pounds
VSF-AWD4W,X00419V5ZB,B0CN33MB2Y,US,16.99,5.43,5,2.72,20.87,inches,0.53,pounds
VSF-AWD4,X004184QXF,B0CMYX2H9Q,US,17.99,5.71,5.12,2.72,21.39,inches,0.68,pounds
VSF-AWD4x2,X004181TK3,B0CMZFSLCL,US,32.99,6.34,5.59,5.08,27.68,inches,1.23,pounds
VSFW002-BLUE-ZYJ,X00416HS05,B08HYQCYW6,US,89.99,27.25,14.5,9.85,75.95,inches,25.4,pounds
VSFW001-GRAY-ZYJ,X00416HQO3,B08LGKCWWN,US,89.99,26.5,12,9,68.5,inches,21.75,pounds
GIY-SGS-P448,X00413JZ0J,B0CMQ4VMHM,US,799.99,50.8,18.3,15.4,118.2,inches,95.5,pounds
GIY-SGS-P336,X00413IVW7,B0CMQ6S9WZ,US,579.99,39.5,17.5,14.5,103.5,inches,63,pounds
GIY-SGS-P426,X00413FVOD,B0CMQ5P338,US,569.99,50,15.5,14.5,110,inches,65,pounds
GIY-SGS-P276,X00413B04N,B0CMQ4T2RB,US,449.99,34.5,15,14.5,93.5,inches,56,pounds
GIY-SGS-P224,X00413AZIF,B0CMQ5FG7K,US,359.99,26.4,20.2,12.8,92.4,inches,48.2,pounds
VSFW002-Black-ZY,X00413AAF3,B0CMPYNW28,US,89.99,28,14.3,9.3,75.2,inches,25.15,pounds
GWC-001,X0040ZZ2UF,B0CMGZXHHT,US,92.99,17.5,13,12.5,68.5,inches,7.2,pounds
VSAW200,X0040W9G4L,B0CM8PP2VX,US,216.99,15.94,13.58,4.09,51.28,inches,10.74,pounds
DCC-003,X0040W6Y5Z,B0CM88K2NJ,US,69.99,37.25,9.5,8.45,73.15,inches,14.25,pounds
LEK-001,X0040V3PYJ,B0CM6884Z8,US,18.39,11.57,11.5,5.47,45.51,inches,5.47,pounds
