sku,fnsku,asin,amazon-store,your-price,sales-price,longest-side,median-side,shortest-side,length-and-girth,unit-of-dimension,item-package-weight,unit-of-weight,european_size_category,european_shipping_weight_g,european_country,fba_fee_2025年1月15日至2025年10月14日,fba_fee_2025年10月15日至2026年1月14日
VSA150SE-E25-EU,X002169005,B0BKPKKWYK,DE,169.99,169.99,39.9,35.1,6.9,123.9,centimeters,3099.99,grams,轻型标准大件,3099.99,德国,5.59,5.59
LED-400-EU,X0020YXKEP,B08GPTLSZH,DE,265.99,265.99,67.5,67,13.4,228.3,centimeters,10490,grams,特大号大件,12120.3,德国,13.87,13.87
SGS-SE1T4E42A-EU,X0020FVYJH,B0C2C97QWM,DE,185.24,185.24,43.4,37,30.5,178.4,centimeters,6070.02,grams,轻型标准大件,9795.38,德国,7.53,7.53
LED-100x2-EU,X0020AEZ6V,B08JG8F18N,DE,199.99,199.99,35.2,35,17.8,140.8,centimeters,5190,grams,轻型标准大件,5190,德国,6.19,6.19
VSH-IS03-EU,X001Z5PQDD,B0BXD9RK42,DE,49.99,49.99,31.1,21.2,7.1,87.7,centimeters,930,grams,小包裹,936.234,德国,4.29,4.49
VSA100SE-E25-EU,X001Z5FQMT,B0BKP6QLTD,DE,139.99,139.99,40.8,34.4,8.2,126,centimeters,2760.02,grams,轻型标准大件,2760.02,德国,5.49,5.49
VSVC-AZT4-EU,X001YZT0M7,B0CBPDTSKS,DE,163.89,163.89,57.9,35.7,23.1,175.5,centimeters,6330.02,grams,轻型标准大件,9549.679,德国,7.46,7.46
LED-300-EU,X001YZS0UP,B09LQL4XGK,DE,209.99,209.99,57,56,14,197,centimeters,8009.99,grams,轻型标准大件,8937.6,德国,7.28,7.28
VSVC-AZT6-EU,X001YZRB9B,B0CBPGTTYW,DE,219.99,219.99,93.45,28.45,25.37,201.09,centimeters,9139.89,grams,轻型标准大件,13490.003,德国,8.6,8.6
LED-200-EU,X001YZR8AD,B08GNZ7M74,DE,139.99,139.99,69.5,37.29,18.6,181.28,centimeters,5860.01,grams,轻型标准大件,9640.957,德国,7.49,7.49
VSV-AZS6-EU,X001YZNSF7,B0C2C8NP5D,DE,73.14,73.14,35.6,28.1,25.7,143.2,centimeters,2749.99,grams,标准包裹,5141.85,德国,5.95,6.23
VSV-AZS4-EU,X001YZMP8D,B0C2C8KBBW,DE,99.99,99.99,36.1,26.1,20.3,128.9,centimeters,2420.01,grams,标准包裹,3825.373,德国,5.67,5.94
VSV-AZS4E42A-EU,X001YZMLS7,B09YH6SZZF,DE,111.81,111.81,36.29,26.7,20.4,130.49,centimeters,2830.01,grams,标准包裹,3953.287,德国,5.95,6.23
306201PVC-8-EU,X001YYVAUX,B08S2PMH88,DE,115.59,135.99,64.14,60.33,33.02,250.83,centimeters,13880.02,grams,特大号大件,25554.615,德国,18.71,18.71
306101S-8-EU,X001YYV193,B01CTM0LLO,DE,89.99,89.99,38.5,35.5,28,165.5,centimeters,6200.02,grams,轻型标准大件,7653.8,德国,6.91,6.91
306201P-6-EU,X001YYUJS7,B01DXYMJ94,DE,69.99,69.99,32,26,25.3,134.6,centimeters,3000.01,grams,标准包裹,4209.92,德国,5.95,6.23
306201P-4-EU,X001YYUIM9,B01DXYMGOM,DE,69.99,69.99,31.7,23.2,22.4,122.9,centimeters,2290.01,grams,标准包裹,3294.771,德国,5.67,5.94
306201PVC-6-EU,X001YYT375,B07SG989NY,DE,121.12,142.49,50,50,28,206,centimeters,9419.98,grams,轻型标准大件,14000,德国,8.75,8.75
306104VC-6-EU,X001YYSZL5,B01NA07G79,DE,169.99,169.99,58.42,52.07,29.21,220.98,centimeters,12179,grams,轻型标准大件,17770.952,德国,9.84,9.84
306201PC-8-EU,X001YYSX4T,B07R22CGJY,DE,104.96,104.96,95.25,32.39,31.75,223.52,centimeters,13199.99,grams,轻型标准大件,19590.687,德国,10.37,10.37
306101S-6-EU,X001YYSTJ3,B01CTM0JF2,DE,45,45,34,31,26,148,centimeters,4699.99,grams,标准包裹,5480.8,德国,5.95,6.23
306101S-4-EU,X001YYSR9P,B01CTM0H6I,DE,33.24,76.99,30.9,26.2,24.5,132.3,centimeters,3690.02,grams,标准包裹,3966.942,德国,5.95,6.23
306201P-8-EU,X001YYSQ0Z,B01DXYMM2I,DE,119.99,119.99,33.66,28.09,27.81,145.47,centimeters,4239.32,grams,轻型标准大件,5258.923,德国,6.21,6.21
306201PS-6-EU,X001YYRKFR,B07YZLP1WY,DE,179.99,179.99,50.8,50.8,29.85,212.09,centimeters,9910.99,grams,轻型标准大件,15406.421,德国,9.16,9.16
306104VC-8-EU,X001YYRFJD,B07C97LC5L,DE,103.4,219.99,68.58,63.5,32.51,260.6,centimeters,17690.01,grams,特大号大件,28315.105,德国,19.7,19.7
306104VC-4-EU,X001YYJ4Z1,B06XFRNPR8,DE,135.99,135.99,47.98,42.93,27.84,189.51,centimeters,8255.52,grams,轻型标准大件,11468.863,德国,8.02,8.02
SGS-SE2T6E42A-EU,X001XL7N3F,B0C2C7NCSS,DE,227.99,227.99,42,37,36,188,centimeters,8000.01,grams,轻型标准大件,11188.8,德国,7.93,7.93
VSV-AZG6-UK,X001XJCH1Z,B0C6QJVMD1,GB,99.99,99.99,33.5,26.6,22.7,132.1,centimeters,3330,grams,标准包裹,4045.594,英国,5.19,5.34
VSV-AZT6E42A-UK,X001XJC5ET,B0BMTK8J3P,GB,169.99,169.99,33.5,25.7,25.2,135.3,centimeters,3200,grams,标准包裹,4339.188,英国,5.19,5.34
VSV-AZT4E42A-UK,X001XJ9I8Z,B0BQF568WN,GB,76.49,142.49,32.5,24.7,19.7,121.3,centimeters,2640,grams,标准包裹,3162.835,英国,5.16,5.32
VSF-AWE6x2-UK,X001XJ4V4B,B0BZYVVKQB,GB,67.19,67.19,48.4,24.4,19.2,135.6,centimeters,2100,grams,轻型标准大件,4534.886,英国,5.58,5.58
VSV-AZT6-UK,X001XJ0EL5,B0BMV1W52R,GB,119.99,119.99,33.7,25.7,24.9,134.9,centimeters,2799.98,grams,标准包裹,4313.128,英国,5.19,5.34
VSF-AWE6G-UK,X001XJ0EDD,B0C3CGNZQG,GB,34.99,34.99,24.6,24.4,18.7,110.8,centimeters,1080,grams,标准包裹,2244.898,英国,4.73,4.87
CFPW-6-EU,X001WTGRSP,B0CH7XQ4T5,DE,11.99,11.99,17.6,17.4,4.4,61.2,centimeters,49.99,grams,超大号信封,49.99,德国,3.42,3.42
CFPW-8-EU,X001WTE3XV,B0CH829BQ2,DE,12.99,12.99,23.6,21.5,3.8,74.2,centimeters,80.01,grams,大号信封,80.01,德国,3.04,3.04
CFPB-8-EU,X001WTE3XL,B0CH7Z32KC,DE,12.99,12.99,23.7,21.3,3,72.3,centimeters,80.01,grams,大号信封,80.01,德国,3.04,3.04
LH-001-UK,X001WT9DF9,B0BTM3RC2G,GB,6.29,6.29,13.7,10.3,3,40.3,centimeters,150,grams,大号信封,150,英国,2.72,2.77
304113-42Tentkit-2-EU,X001WOVCW1,B093BL79VG,DE,599.99,599.99,125.73,55.88,26.67,290.83,centimeters,23360.01,grams,超重型大件,37475.577,德国,13.9,13.9
VSV-AZG4-EU,X001WOUZFV,B0C6QG963B,DE,79.99,79.99,32.7,24.4,19.7,120.9,centimeters,2480.02,grams,标准包裹,3143.647,德国,5.67,5.94
VSV-AZT6-EU,X001WOUTQV,B0BMV1W52R,DE,103.99,103.99,33,26,25,135,centimeters,2749.99,grams,标准包裹,4290,德国,5.95,6.23
304113-27Tentkit-EU,X001WOK82L,B08LGQ3XDZ,DE,299.99,299.99,87,41,35,239,centimeters,18419.98,grams,重型标准大件,24969,德国,10.48,10.48
