?"sku",fnsku,asin,amazon-store,fulfilled-by,your-price,sales-price,longest-side,median-side,shortest-side,length-and-girth,unit-of-dimension,item-package-weight,unit-of-weight,size_category_2024,shipping_weight_2024,size_category_2026,shipping_weight_2026,removal_fee_2026,multichannel_fee_standard,multichannel_fee_express,fba_fee_2025年01月15日至2025年10月14日_2024,fba_fee_2025年10月15日至2026年01月14日_2024,fba_fee_自2026年01月15日起_2026
332823-100J,X002I4KK93,B086V9MW2Q,US,Amazon,9.99,9.99,6.18,4.41,2.09,19.18,inches,0.4,pounds,大号标准尺寸,0.41,大号标准尺寸,0.41,0.84,7.72,11.59,3.13,3.39,3.13
332582-40,X002I2UUL3,B086QHTGZ5,US,Amazon,19.94,19.94,5.91,5.67,4.49,26.23,inches,1.79,pounds,大号标准尺寸,1.79,大号标准尺寸,1.79,2.27,10.64,13.45,5.77,6.1,5.82
332582-60,X002I2RBLF,B086QJPQ6X,US,Amazon,23.99,23.99,6.69,5.59,4.45,26.77,inches,2.27,pounds,大号标准尺寸,2.27,大号标准尺寸,2.27,3.18,11.75,14.14,6.05,6.44,6.1
332582-100,X002I2R87R,B086QJQK8N,US,Amazon,36.99,36.99,7.64,7.13,5.87,33.64,inches,4.43,pounds,大号标准尺寸,4.43,大号标准尺寸,4.43,5.47,12.75,15.13,7.38,7.92,7.43
311003-4X12NJ,X002HINYJD,B085NGVT5H,US,Amazon,39.99,39.99,8.78,6.65,2.28,26.64,inches,1.83,pounds,大号标准尺寸,1.83,大号标准尺寸,1.83,2.27,10.64,13.45,5.77,6.1,5.82
TB-33,X002HE9RTX,B085HNHQD9,US,Amazon,19.99,19.99,36.5,2,2,44.5,inches,1.5,pounds,大号大件,1.5,小号大件,1.5,4.3,17.7,19.38,9.8,10.84,7.74
311003-5X12NJ,X002HE62TL,B085HBYFXX,US,Amazon,39.99,39.99,9.8,7.95,2.76,31.22,inches,2.23,pounds,大号标准尺寸,2.23,大号标准尺寸,2.23,3.13,11.75,14.14,5.87,6.24,5.92
351001J,X002H2MAK3,B0854HQ6TP,US,Amazon,16.99,16.99,10.04,6.46,2.8,28.56,inches,2.62,pounds,大号标准尺寸,2.62,大号标准尺寸,2.62,3.55,11.75,14.14,6.21,6.61,6.26
351002J,X002H2FILB,B085497XYR,US,Amazon,12.99,12.99,8,5.25,3,24.5,inches,1.85,pounds,大号标准尺寸,1.85,大号标准尺寸,1.85,2.27,10.64,13.45,5.77,6.1,5.82
GB0100J,X002FTLJPF,B083XMPXGB,US,Amazon,37.99,37.99,13.75,13.75,8.35,57.95,inches,4.9,pounds,大号大件,11.357,小号大件,11.357,15.76,25.1,26.77,13.55,14.59,11.49
THM003-3J,X002FGLIC7,B083J5TSJV,US,Amazon,22.99,22.99,5.39,5.31,2.32,20.65,inches,0.82,pounds,大号标准尺寸,0.82,大号标准尺寸,0.82,1.53,8.93,13.12,4.55,4.84,4.6
THM003-SENSORJ,X002FGHW4P,B083J6GT3P,US,Amazon,6.26,6.26,4.41,2.68,1.46,12.69,inches,0.18,pounds,大号标准尺寸,0.18,大号标准尺寸,0.18,0.84,7.56,10.88,2.91,3.15,2.91
CBIN-BL-43J,X002F6LW9L,B08346W5S6,US,Amazon,69.59,79.99,22.75,22.75,9.25,86.75,inches,25.65,pounds,大号大件,34.442,小号大件,34.442,40.23,42.46,44.13,22.32,23.36,20.26
331301J,X002F2JUV7,B082XP6TP1,US,Amazon,99.99,99.99,30,28,8,102,inches,23.35,pounds,大号大件,48.345,小号大件,48.345,54.97,52.89,54.56,27.6,28.64,25.54
306106-124J,X002EYVHKX,B082TY8RR5,US,Amazon,19.99,19.99,16.57,12.95,1.85,46.18,inches,0.66,pounds,大号标准尺寸,2.856,大号标准尺寸,2.856,3.8,11.75,14.14,6.62,7.03,6.67
306106-64J,X002EYTB0B,B082TX7PNB,US,Amazon,12.99,12.99,10.35,7.4,1.69,28.54,inches,0.4,pounds,大号标准尺寸,0.931,大号标准尺寸,0.931,1.53,8.93,13.12,4.55,4.84,4.6
HSB950-1800LNJ,X002ESQRYF,B082M7FNK6,US,Amazon,16.99,16.99,6.14,4.37,3.58,22.04,inches,1.43,pounds,大号标准尺寸,1.43,大号标准尺寸,1.43,2.27,10.64,13.45,5.37,5.68,5.42
GH-0001,X002ENFD8L,B082FGDGPQ,US,Amazon,79.99,79.99,53.75,16,6,97.75,inches,45.15,pounds,大号大件,45.15,大号大件,45.15,51.58,51.56,26.26,26.39,27.43,26.13
GH-0002,X002EN83TR,B082FJ37D1,US,Amazon,63.99,63.99,40.87,12.05,6.14,77.25,inches,22.3,pounds,大号大件,22.3,大号大件,22.3,27.36,34.06,35.76,17.7,18.74,17.44
CHTrimer-01J,X002EHB2OB,B0827B591D,US,Amazon,83.99,83.99,34,7.5,7.13,63.26,inches,7.35,pounds,大号大件,13.08,小号大件,13.08,17.59,26.39,28.06,14.2,15.24,12.14
HM002J,X002EEAL87,B0823Q1V1P,US,Amazon,35.99,35.99,13.43,8.27,1.93,33.83,inches,1.63,pounds,大号标准尺寸,1.63,大号标准尺寸,1.63,2.27,10.64,13.45,5.52,5.84,5.57
HM001J,X002EE85J9,B0823MGXXD,US,Amazon,29.99,29.99,9.41,6.42,1.93,26.11,inches,1.26,pounds,大号标准尺寸,1.26,大号标准尺寸,1.26,2.27,10.64,13.45,5.37,5.68,5.42
308105-50J,X002EE2HDT,B0823BFW6P,US,Amazon,19.79,19.79,15.07,7.72,6.22,42.95,inches,1.54,pounds,大号标准尺寸,5.206,大号标准尺寸,5.206,6.29,13.29,15.66,7.63,8.17,7.68
PH002J,X002ECSOVF,B08227NGWJ,US,Amazon,26.59,26.59,9.49,3.23,1.93,19.81,inches,0.35,pounds,大号标准尺寸,0.426,大号标准尺寸,0.426,0.84,7.72,11.59,3.9,4.16,3.95
PH001J,X002ECSOJ7,B08228CNGT,US,Amazon,27.99,27.99,9.37,3.23,1.93,19.69,inches,0.35,pounds,大号标准尺寸,0.42,大号标准尺寸,0.42,0.84,7.72,11.59,3.9,4.16,3.95
330104CNJ,X002EB7JHB,B081ZM97QQ,US,Amazon,25.99,25.99,7.56,7.4,2.13,26.61,inches,1.23,pounds,大号标准尺寸,1.23,大号标准尺寸,1.23,2.27,10.64,13.45,4.99,5.29,5.04
330102CNJ,X002EB7JH1,B081ZPC2M7,US,Amazon,46.99,46.99,20.2,3.8,3.7,35.2,inches,2.2,pounds,大号大件,2.2,小号大件,2.2,6.36,18.23,19.9,10.07,11.11,8.01
332579-450LJ,X002E41OAL,B081RBZZR1,US,Amazon,14.99,14.99,5.24,2.83,2.76,16.42,inches,0.6,pounds,大号标准尺寸,0.6,大号标准尺寸,0.6,1.53,8.61,11.81,4.15,4.43,4.2
HGK3-108J,X002E3ZNQ3,B081R8Y258,US,Amazon,125.99,125.99,31.89,11.42,10.63,75.99,inches,25.9,pounds,大号大件,27.851,小号大件,27.851,33.24,37.47,39.14,19.81,20.85,17.75
HGK3-90J,X002E3UKBV,B081R8VNGY,US,Amazon,94.99,94.99,31.5,10.9,10.4,74.1,inches,20.5,pounds,大号大件,25.689,小号大件,25.689,30.95,35.85,37.52,18.99,20.03,16.93
332967-50J,X002E2775J,B081N6NQ7B,US,Amazon,10.34,10.34,6.8,4,1.2,17.2,inches,1.7,pounds,大号标准尺寸,1.7,大号标准尺寸,1.7,2.27,10.64,13.45,5.52,5.84,5.57
Spray-SX-CS4J,X002DREVSL,B07Y81DTTJ,US,Amazon,28.04,28.04,16.18,7.32,7.32,45.46,inches,2.54,pounds,大号标准尺寸,6.237,大号标准尺寸,6.237,7.38,14.02,16.37,7.96,8.5,8.01
332592J,X002CZR3VV,B07ZRC2GYC,US,Amazon,135.99,135.99,15.55,10.35,9.75,55.75,inches,16.45,pounds,大号大件,16.45,小号大件,16.45,21.16,28.92,30.59,15.48,16.52,13.42
332591J,X002CZR0EL,B07ZR9PGV9,US,Amazon,109.99,109.99,15.3,10.4,9.7,55.5,inches,15.2,pounds,大号大件,15.2,小号大件,15.2,19.83,27.98,29.65,15.01,16.05,12.95
332581J,X002CZQREF,B07ZR9VNCP,US,Amazon,66.49,66.49,15.43,7.99,7.01,45.43,inches,7.14,pounds,大号标准尺寸,7.14,大号标准尺寸,7.14,8.34,14.65,17,8.24,8.78,8.55
